target,sentence,polarity
インボイス制度,フリーランスや、フリーランスへの親近感が強い方が多めのタイムライン構成なので、インボイス制度に反対する意見をよく見るんだけど、一般企業の経理職を長くやってきた経験からするとインボイス制度わりと賛成なんですよね。,positive
インボイス制度,個人的な意見だが徴税制度がすべて悪とは思ってない。インボイス制度はわけのわからん軽減率より分かりやすくてどちらかと言えば賛成だな。ただ、終戦後朝鮮戦争景気やら高度経済成長だのずっと成長期が続いてバブルが弾けてデフレぶっちゃけ政治家が税金の使い方知らないんじゃね？,positive
インボイス制度,こんな状況にもかかわらずインボイス制度賛成というのは理解が難しいです。大企業ではなく、個人事業主達の税負担が増え、経費精算が煩わしくなる上に、こんな金の使い方をする現与党に米櫃に手を突っ込ませるのは意味がわからない。「私は税理士雇えるから大丈夫」というレベルの問題じゃないのに。,negative
インボイス制度,インボイス制度はそもそも反対なのだが、まず前提として、あらゆる手続きの負荷は簡便であることを目指すべき、なぜなら多くの人類は事務能力がそれほどないから、事務能力は結構特殊能力、人間のリソースは限られている、仕組みで限られたリソースの可動域を広げるべき、と思っているのが少数なのか？,negative
インボイス制度,インボイス制度何が何でも反対！の人が多いけど消費税払ってるちっさい会社の立場としてはなんでそれ利益になんねん、と思ってるから賛成です。,positive
インボイス制度,インボイス制度、益税の観点から真っ向に分かれる意見。片方を鵜呑みにしてはいけないのだなぁ。,neutral
インボイス制度,"インボイス制度に対する賛成派と反対派は双方の論点がかみ合っているとは思えない。
いちいち相手にせず無関心層に自分の意見を伝えていく方が有益だろう。",neutral
インボイス制度,インボイス制度の問題を所謂左翼・リベラル運動に結びつけたがる人が賛成派にも反対派にもいるけど、そういうのにはついていけないしインボイスとは関係がない。インボイスの問題はその他の政治イデオロギーとは関係のない、あくまでも事業者の税負担・事務負担と生活・経営の問題でしかない。,neutral
インボイス制度,"インボイス制度反対です。
フリーランスを始めとした自営業や中小企業の方の生活を壊すつもりですか。
もっと違うところから税金を集めてください。",negative
インボイス制度,"【お金の話題：インボイス制度】

インボイス制度に賛成か反対かは個々人の意見なのでどちらでも良いと思います。

ただ、自分の納税負担を相手に押し付ければ良いという考え方は良くない。
SNSやネットニュースの「過激な演出」に参加しちゃダメ！",neutral
インボイス制度,2022年の参院選で野党共闘爆発です。その暁にはインボイス制度廃止に追い込もう！廃止にしないとコンビニや個人商店の飲食店もインボイス制度の餌食になります。野党共闘積極応援します。,negative
インボイス制度,インボイス制度さっさと廃止しろよ。インボイス廃止反対派の人たち何が良くて賛成してんの？,negative
インボイス制度,個人事業主だけど、毎年頑張って消費税納めているので、（課税事業者と免税事業者の）不公平の是正という意味ではインボイス制度賛成。,positive
インボイス制度,事業者支援、インボイス制度、消費税そのもの論点全てごっちゃにするの辞めてもらっていいですかのお気持ち,neutral
インボイス制度,"個人事業主、フリーランスに負担のかかる「インボイス制度」。
いまいちよく分からないので反対とか賛成もできないが。どうなんだろ？",neutral
インボイス制度,"やっぱ、どう贔屓目に見ても、インボイス制度は無茶過ぎる。
軽減税率の厳格運用×益税をなくす×消費税引き上げの準備×デジタルインボイス加速、と国のメリットを一度に取りに来ている。

普通は、事務負担増しには減税をかけ合わせたりするものなんだけど、これじゃ誰も賛成できないよ。",negative
インボイス制度,"またインボイスのひでぇ記事が出てるなぁ…
施行されて業界が歪むようなら、そもそもの業界体質の方が問題だと思うけど。。。

僕は基本的にはインボイス制度賛成派です。これ以上重大な因子になる前に解決しておくべき。

ただ使いやすい形にはしてほしい。
クレカとスマホの履歴でなんとかしてくれ。",positive
インボイス制度,インボイス制度、導入賛成派は『消費税の納税は平等にすべての事業者が行うべき』という主張も、導入反対派の『低所得小規模事業者への減税措置の廃止反対』という主張もどちらにも理はあるので結構難しい説ない？,neutral
インボイス制度,"てかインボイス制度に反対してる人達って水増し請求とか実利益を計上してないタイプの小規模事業主も多いだろうな

そもそも弱い物いじめとかじゃなくて、計上関連をより正確かつ公平な取引を目指してる意味では俺は賛成だわ

それが嫌なら事業辞めて雇用される選択もあるんだし",positive
インボイス制度,"インボイス制度廃止に賛同・署名しました。来週１６日、財務省に届けてくださるそうです。

ちょうどさっき、国会でもインボイス制度に触れていました。
コロナ禍で大打撃を受けたアーティストや職人・技術者をさらに廃業へと追い込む悪制。
若手の未来がなくなれば、業界の未来も無くなります。",negative
インボイス制度,"「インボイス制度はどちらかといえば反対だが、反対派が嫌いだから賛成」みたいな人Twitterにいっぱいいたけど、それを繰り返している気がする。

自分の意思決定が自分が嫌いな人に左右されているってなんだか不健全な気がするよ。",neutral
インボイス制度,すごく大変だけれどインボイス制度賛成派です。どんな特例も短期で切り上げるべき。この流れの後に電子帳簿保存法に移行する企業も増えると思う。,positive
インボイス制度,"インボイス制度はどう見ても免税事業者つぶし…少しでもふんだくろうという意志しか感じないし、増税の上にっていうのが…国が国のためだけに税金巻き上げている感じが嫌だな…国民に還元される未来が見えないし、そんな負担ばかり強いるから反対するんだよ…。
賛成派って本当に世の中みえてんのかね",negative
テレワーク,"テレワークは確かに楽です。通勤時間が0になるのは非常に大きいです。

しかし、自宅という、全てから開放される安全地帯が仕事に侵食されるというデメリットもあります。",neutral
テレワーク,"テレワーク、完全になくなったわけではないけど出社推奨されてる感が…。

テレワークにデメリット(業務遅延とかコミュニケーション不足とか…)があるからみたいなんですが…おかしいでしょ。
その課題解決する方法が本当に出社することなのか？",positive
テレワーク,"私はテレワークは賛成ではない。テレワークだと、職員が、仕事しないで遊んでいてもバレない場合があるような気がします。結果は大事だが、勤務態度も大事です。
もちろん、コロナが流行っているうちは、テレワークになるのは仕方ないです。",negative
テレワーク,"家に仕事を持ち込みたくないのでテレワーク嫌い。
「明日テレワークです」と言うと「ようやくあなたもですか。いやあ、よかったよかった」と言ってくれる人。
所属組織のテレワーク実施率が低くて上から注意されてもっとテレワークしろーと言われてしまう昨今。",negative
テレワーク,"テレワーク賛成派です。
現場仕事の身としては道路空く、電車空くでいいことずくめなのでもっと多くの会社がそうするべき。",positive
テレワーク,Go Toの停止や時短要請だけでは効果が限定的。官公庁主導で、いま一度「テレワーク」を呼びかけた方が良い。新しい働き方として定着するかと思いきや、もはや民間企業では過去の遺物のようになってしまっており。もともと満員電車など都市課題を解消するための取組なので、まさに一石二鳥なんですが。,positive
テレワーク,"夫のテレワークに専業主婦の3割が反対って

反対されてる夫って

うちはテレワーク大歓迎だけどなぁ。",positive
テレワーク,"時差通勤には賛成ですがテレワークは3年やってもういいかな感ある。
ヒトにもよるだろうが根がクズなので、際限なくサボるし、太るし。のんびりしたいからたまには家からーという緩い感じはいいが常態ではマズい

個人的には社会復帰できなくなるテレワーク勢ってのが今後少なからず出ると思います",negative
テレワーク,"コロナになってよかったのは、何故か夫の仕事に余裕が出来たこと。
テレワークで通勤時間がなくなったことだけでも大きかった。
テレワークに100%賛成とは思わないけど、自分たちの都合だけ考えたら80%位は賛成。
コロナ終わってもテレワークが定着するといなぁ。",positive
テレワーク,リモートワークや在宅での仕事を推奨したりするのは良いとは思うが画面越しではわからないことが多い。だからこれデフォルトになるのは違うと思う。あくまで一つの手段である。ちなみにリモートやテレワークは反対派ではない。むしろ多いに活用してる。,neutral
テレワーク,"批判あると思うんですが、
個人的には事務の方のテレワークには賛成しかねます。

補助で社員としかやり取りしないのであればまだわかるんですが、
そうじゃないのであればむしろ社員じゃなくて外注でいいんじゃないかと思います。",negative
テレワーク,昨日テレワークだったせいか、今日は気分的に日曜な感じ。テレワークは嫌いじゃないけど、これがずーっと1か月間続くと思うと、やっぱりしんどいな。2日ですらちょっと飽きた感じ。慣れたらラクだけど、やっぱり外に出て動いた方がいい。,negative
テレワーク,"現代社会の課題についての議論は論点がナンセンスなものが多い。

テレワークすべきか、出勤すべきかの議論ではなくて

テレワークでも出勤でも好きな時に好きな方を選択できる仕組みはどうやったら生まれるのか？
という生産的な議論をするべき。

AかBではなくてXという解を導き出せ。",neutral
テレワーク,"営業も一緒だと思う…
コロナ禍によるテレワーク時代。
今後もテレワークに賛成な人は70%
でも完全にテレワークしていた人の割合が変わってきた。
1年前は30%今は10%に。
理由の中には孤独感、疎外感に嫌気も。

得意先も直接会っての商談がやりやすいのは一緒。
やはり人の繋がりは大事ですよね！",negative
テレワーク,テレワークが増えると働ける人も多いと思うので賛成です！,positive
テレワーク,うちの会社は居眠り常習犯が多いのでテレワーク廃止は賛成です。,neutral
テレワーク,テレワーク賛成派と反対派の意見は結構感情的になってて解決するのが難しそうな印象,negative
テレワーク,"テレワークが本当に不快。自宅は仕事をする場所ではない。
テレワークこそが多様な働き方を実現する素晴らしい制度だからみんな受け入れているはずみたいな圧力が酷く嫌い。
朝起きる度に吐き気を催してテレワークを強要させられる人間はいないものと扱われますかそうですか。",negative
テレワーク,"私はテレワーク賛成派なんだよね。
自分がテレワークできない仕事だから羨ましいのもあるが、通勤の時間を家事に充てられたりできるのはデカいし、通勤電車のストレスがなくなるのもデカい。

始業前から体力削られてるからね",positive
テレワーク,"昨日からテレワークがトレンド入りしていており、なんでかと思えばコロナ5類になった影響でテレワークを廃止する企業が出てきたとのことみたいですね。
個人的にテレワークがスタンダードに賛成ですが、
・新卒
・新規事業
の「2新（今作った）」は対面がいいなと思ってます。あとはもう好みですね。",positive
テレワーク,"職場のテレワーク反対派の人間が同僚に「早く出社したいんじゃないですか！？」と騒いでいたものの、「ケースバイケースですよね」と切り替えされて絶句してた。
ちなみに、我が職場ではテレワーク賛成派が五割超え、常時テレワークでOK派が三割だそうです。
はてさて、どうなることやら…",neutral
テレワーク,係長連中が頑なにテレワーク阻止してるのが不合理な点は部長も賛成してくれたのでそこは助かる。何のためにパスワードがあるんだあほんだら。我が社でテレワーク認めないのうちらの現場だけじゃん。お客様対応以外は家で記録や資料作成させろ！委託先は全員持ってて私らは業務用スマホ無いのも変だよ。,positive
テレワーク,"普通の時間の電車が混雑している気がするのだが
何となく自粛ムードが影響したのか
さっさと家に帰ろうみたいな
あとケンカ増えてる気がする
そういう意味でテレワーク賛成とする",positive
テレワーク,テレワーク反対の理由が、なんかこう外に出た方が出社したほうがこんなに良いことがあるよ！ってのならまだわかるんだけど（ぼくは嫌だけど）、実際は「家に居づらいから」「家では集中できないから」みたいな、あなたの家庭の事情を他者に強要しないでもらえますか？なことが多そうで,neutral
